cleanapp_report_processor	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-processor-image:prod	8e1998bbda36	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9087->8080/tcp, [::]:9087->8080/tcp
cleanapp_voice_assistant_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-voice-assistant-service-image:prod	0754ce70fb23	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9092->8080/tcp, [::]:9092->8080/tcp
cleanapp_new_york_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	9d0d45f34989	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9088->8080/tcp, [::]:9088->8080/tcp
cleanapp_report_analyze_pipeline	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-analyze-pipeline-image:prod	12f3fac83328	2026-02-09 00:44:32 +0000 UTC	Up 16 minutes	0.0.0.0:9082->8080/tcp, [::]:9082->8080/tcp
cleanapp_auth_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image:prod	8a0eedc8fd03	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9084->8080/tcp, [::]:9084->8080/tcp
cleanapp_montenegro_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	1cbde09c0d08	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9083->8080/tcp, [::]:9083->8080/tcp
cleanapp_devconnect_2025_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	fe6b84ee60ce	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9094->8080/tcp, [::]:9094->8080/tcp
cleanapp_customer_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-customer-service-image:prod	5c847b75cbe4	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:9080->8080/tcp, [::]:9080->8080/tcp
cleanapp_news_indexer_twitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-news-indexer-twitter-image:prod	a6de80b42a5d	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	
cleanapp_red_bull_dashboard	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-brand-dashboard-image:prod	13145821a4a7	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes (healthy)	0.0.0.0:9085->8080/tcp, [::]:9085->8080/tcp
cleanapp_pipelines	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-pipelines-image:prod	be1e2f7d6fea	2026-02-09 00:44:32 +0000 UTC	Up 17 minutes	0.0.0.0:8090->8090/tcp, [::]:8090->8090/tcp, 8091/tcp
cleanapp_frontend	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image:prod	fee4881cc57b	2026-02-07 20:08:02 +0000 UTC	Up 29 hours	0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp
cleanapp_frontend_embedded	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image-embedded:prod	e8369203ca5d	2026-02-07 20:07:20 +0000 UTC	Up 29 hours	0.0.0.0:3002->3000/tcp, [::]:3002->3000/tcp
cleanapp_bluesky_now	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/bluesky-now:v3	fb2f7e09f5f0	2026-02-07 20:06:43 +0000 UTC	Up 29 hours	
cleanapp_bluesky_analyzer	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-analyzer-image:prod	63ccc4a7cf6a	2026-02-07 20:05:50 +0000 UTC	Up 29 hours	
cleanapp_web	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-web-image:prod	5228702fe082	2025-12-22 00:48:09 +0000 UTC	Up 7 weeks	0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
cleanapp_db	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-db-image:live	868cab192692	2025-12-22 00:46:23 +0000 UTC	Up 7 weeks (healthy)	0.0.0.0:3306->3306/tcp, [::]:3306->3306/tcp, 33060/tcp
